sample	phased_count	ground_truth_count	switch_error_rate_ALL_intersec	switch_error_rate_Largest_intersec
IR-KIL-2018-011	53945	53945	11.47	7.14
IR-KIL-2018-012	52208	52208	12.12	8.40
IR-KIL-2018-013	52845	52845	12.18	20.00
IR-KIL-2018-015	57165	57165	12.05	7.73
IR-KIL-2018-017	54091	54091	11.02	11.59
IR-KIL-2018-018	56716	56716	10.33	23.77
IR-KIL-2018-019	53260	53260	9.56	6.25
IR-KIL-2018-021	55745	55745	11.09	13.92
IR-QAZ-2018-001	55294	55294	14.51	15.19
IR-QAZ-2018-002	59635	59635	13.54	3.25
IR-QAZ-2018-003	56881	56881	13.84	12.82
IR-QAZ-2018-004	56001	56001	13.41	21.13
IR-QAZ-2018-006	59423	59423	13.79	10.73
IR-QAZ-2018-007	56737	56737	13.66	16.25
IR-QAZ-2018-009	59789	59789	14.56	7.41
IR-QAZ-2018-010	57917	57917	14.37	13.42
IR-QAZ-2018-012	58765	58765	14.49	16.81
IR-QUC-2017-001	48254	48254	13.92	11.29
IR-QUC-2017-002	49181	49181	13.97	14.29
IR-QUC-2017-003	51587	51587	12.82	14.49
IR-QUC-2017-004	49220	49220	13.92	10.17
IR-QUC-2017-006	50008	50008	14.57	4.49
IR-SHA-2017-002	52665	52665	12.64	2.74
IR-SHA-2017-003	55852	55852	11.96	18.00
IR-SHA-2017-004	53112	53112	12.22	11.94
IR-SHA-2017-005	54089	54089	12.87	15.56
IR-SHA-2017-009	52371	52371	13.10	12.82
IR-SHA-2017-010	49456	49456	12.93	11.76
IR-SHA-2017-011	55214	55214	11.18	18.63
IR-SHA-2017-015	56192	56192	11.55	23.53
IR-SHA-2017-016	54169	54169	12.54	26.09
IR-SHA-2017-017	47053	47053	11.42	12.33
IR-SHA-2017-019	49379	49379	12.14	10.71
IR-TAB-2018-002	56883	56883	14.39	28.57
IR-TAB-2018-006	57263	57263	14.30	3.39
IR-TAB-2018-007	59736	59736	14.56	8.21
IR-TAB-2018-008	54633	54633	14.56	17.39
IR-TAB-2018-009	59444	59444	9.75	16.10
IR-TAB-2018-010	59174	59174	9.53	5.26
IR-TAN-2017-004	51766	51766	12.67	12.33
IS-GAL-1963-011	38505	38505	10.45	9.30
IS-GOL-1967-005	32044	32044	9.62	0.00
IS-GOL-1967-006	33729	33729	10.46	3.33
IS-HER-1967-007	18245	18245	47.82	46.88
IS-HER-1969-008	29953	29953	10.98	0.00
IS-HER-1976-009	45071	45071	11.54	4.00
IS-HER-1979-010	44715	44715	11.12	0.00
IS-JUD-1935-001	21300	21300	10.61	0.00
IS-JUD-1961-002	33417	33417	9.94	6.25
IS-JUD-1963-004	28323	28323	9.66	0.00
IS-JUD-1988-003	43812	43812	10.71	1.96
IS-JUD-2012-005	52744	52744	13.09	16.90
IS-JUD-2012-006	53521	53521	12.59	2.94
IS-JUD-2012-007	51710	51710	12.23	2.96
IT-GRA-2019-001	49387	49387	12.01	15.79
IT-GRA-2019-002	52583	52583	12.70	15.32
IT-GRA-2019-003	51991	51991	11.98	3.85
IT-GRA-2019-006	45814	45814	12.23	17.46
IT-GRA-2019-007	46280	46280	12.94	20.00
IT-GRA-2019-009	50755	50755	12.47	8.06
IT-GRA-2019-010	47223	47223	11.48	7.53
IT-GRA-2019-012	46622	46622	13.05	10.81
KZ-ALM-1993-46249	48366	48366	14.85	10.77
KZ-ALM-1993-46250	48340	48340	14.63	23.61
KZ-ALM-1993-46253	46741	46741	15.01	17.33
KZ-ATY-2022-001	47368	47368	9.34	15.49
KZ-ATY-2022-002	48108	48108	10.46	13.89
KZ-ATY-2022-003	47109	47109	9.83	3.21
KZ-ATY-2022-004	46990	46990	9.99	18.84
KZ-ATY-2022-006	47234	47234	8.34	10.87
KZ-ATY-2022-007	49162	49162	8.70	16.67
KZ-ATY-2022-008	48924	48924	9.75	11.11
KZ-ATY-2022-009	48913	48913	8.63	0.00
KZ-ATY-2022-010	45059	45059	8.63	9.76
KZ-IND-2022-001	47459	47459	9.85	16.92
KZ-IND-2022-002	49872	49872	8.45	18.00
KZ-IND-2022-003	48844	48844	7.80	5.97
KZ-IND-2022-004	46796	46796	8.90	26.98
KZ-MAN-2022-001	48233	48233	9.81	12.73
KZ-MAN-2022-002	49428	49428	10.39	25.42
KZ-MAN-2022-003	47539	47539	10.30	19.67
KZ-MAN-2022-004	48310	48310	10.24	24.29
KZ-MAN-2022-005	49697	49697	9.31	15.52
KZ-MAN-2022-006	49039	49039	9.56	7.94
KZ-MAN-2022-007	48950	48950	10.34	14.81
KZ-MAN-2022-008	48853	48853	10.29	14.29
KZ-MAN-2022-009	48403	48403	9.41	8.45
KZ-MAN-2022-010	47818	47818	10.62	16.39
KZ-MAN-2022-011	48718	48718	9.99	0.61
KZ-MAN-2022-012	48899	48899	11.11	30.56
KZ-MAN-2022-013	49315	49315	10.43	12.12
KZ-MAN-2022-014	48753	48753	10.38	11.29
KZ-MAN-2022-015	47779	47779	9.48	9.52
KZ-MAN-2022-016	48655	48655	10.21	5.38
KZ-MAN-2022-017	47937	47937	10.13	22.41
KZ-MAN-2022-018	48416	48416	10.16	28.33
KZ-MAN-2022-019	48057	48057	10.44	4.90
KZ-MAN-2022-020	49798	49798	9.94	0.00
KZ-MAN-2022-021	49904	49904	9.99	10.53
KZ-MAN-2022-022	47968	47968	10.63	15.52
MG-DOR-BUR-1998-59741	33316	33316	19.56	0.00
MG-DOR-BUR-1998-60158	44959	44959	17.72	25.00
MG-DOR-BUR-1998-60161	35479	35479	17.76	33.87
MG-KHA-HAR-2018-ORN349921	36229	36229	18.67	27.08
MG-KHA-HAR-2018-ORN349924	37316	37316	18.22	12.12
MG-Oenple_black	47908	47908	17.55	5.97
MN-MUR-2019-004	57756	57756	14.61	11.85
MN-MUR-2019-010	46822	46822	15.03	19.23
MN-ULC-2019-011	48931	48931	14.92	13.85
MN-ULC-2019-014	51362	51362	14.84	13.51
MN-ULC-2019-015	54245	54245	14.50	16.44
MN-VIR-2019-002	52236	52236	14.93	10.23
MO-5289	47951	47951	28.55	32.26
MO-5330	44176	44176	36.05	13.04
OEN-CYP-20e	28943	28943	12.53	0.00
OEN-CYP-A7A8147	21373	21373	11.85	19.57
Oencyp_black	30027	30027	13.42	21.84
